long_threshold,short_threshold,max_single_weight,top_n_long,target_annual_vol,objective,annualized_return,sharpe,max_drawdown,win_rate
0.05,0.07,0.25,3,0.3,-1.4757000591282017,-0.4267701091889594,-1.3476690263715139,0.17678250905345705,0.4777777777777778
0.05,0.07,0.25,3,0.35,-1.4622241140709324,-0.43363662927735225,-1.3321331252877269,0.1796885842292868,0.4777777777777778
0.05,0.07,0.25,4,0.25,0.20763104038609723,0.0571914909813509,0.19047359309169196,0.11008357956084436,0.4888888888888889
0.05,0.07,0.25,4,0.3,0.14953942584776136,0.04398305409747172,0.13634450961851985,0.11637869297994374,0.4888888888888889
0.05,0.07,0.25,4,0.35,0.18934165979551223,0.05770095029800859,0.17203137470610966,0.11749646266536484,0.4888888888888889
0.05,0.07,0.3,2,0.25,-0.830017516890731,-0.21926582678717865,-0.7642377688545774,0.13910653409407658,0.5
0.05,0.07,0.3,2,0.3,-1.0081522574929174,-0.28325599810062596,-0.9231754580627295,0.15575412362688157,0.5
0.05,0.07,0.3,2,0.35,-1.0117351468236626,-0.2883561661626146,-0.9252282969748783,0.1581980119128219,0.5
0.05,0.07,0.3,3,0.25,-1.6684607558763085,-0.479210860511467,-1.5246974977228684,0.1894703853387253,0.4666666666666667
0.05,0.07,0.3,3,0.3,-1.83761417666579,-0.5639993269878857,-1.6684143785694243,0.22853795366748453,0.4666666666666667
0.05,0.07,0.3,3,0.35,-1.7567495997812563,-0.564652809680368,-1.5873537568771459,0.23474248219597793,0.4666666666666667
0.05,0.07,0.3,4,0.25,0.19112852651973083,0.0555279130624835,0.17447015260098578,0.11663791604043072,0.5111111111111111
0.05,0.07,0.3,4,0.3,0.2582599375799172,0.0807661017876391,0.23403010704362548,0.12777864033809871,0.5111111111111111
0.05,0.07,0.3,4,0.35,0.1942845912985526,0.06367917022863678,0.17518084022996158,0.13283744535683362,0.5111111111111111
0.05,0.08,0.2,2,0.25,-0.7722129288787187,-0.1571434743981297,-0.7250698865592798,0.10026927387229212,0.5
